Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Isolate	Organism Infraspecific Names Strain	Assembly Release Date	Assembly BioSample Accession	Assembly BioSample Isolate	Assembly BioSample Strain	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Latitude and Longitude	Assembly BioSample Collection date	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Ecotype	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly Type
GCA_002506645.1	Vulcanisaeta distributa	164451	UBA159		2017-10-10	SAMN06027509	UBA159		water	Taiwan: Shi-Huang-Ping hot spring		not applicable				true	genome length too small	haploid
GCA_002506665.1	Nitrosopumilus sp. UBA526	1915597	UBA526		2017-10-10	SAMN06027227	UBA526		deep-sea sponge Neamphius huxleyi	missing		not applicable						haploid
GCA_002506745.1	Euryarchaeota archaeon UBA33	1915767	UBA33		2017-10-10	SAMN06027368	UBA33		freshwater lake	Sweden		not applicable						haploid
GCA_002506785.1	Methanoregula sp. UBA452	1915551	UBA452		2017-10-10	SAMN06027326	UBA452		waste water	Canada: Northern Alberta		not applicable						haploid
GCA_002506795.1	Methanobacterium sp. UBA397	1915459	UBA397		2017-10-10	SAMN06027321	UBA397		mud	China: Luzhou		not applicable						haploid
GCA_002506845.1	Methanosarcina sp. UBA398	1915587	UBA398		2017-10-10	SAMN06027312	UBA398		mud	China: Luzhou		not applicable						haploid
GCA_002506915.1	Methanosarcina sp. UBA369	1915583	UBA369		2017-10-10	SAMN06027071	UBA369		mud	China: Luzhou		not applicable						haploid
GCA_002507025.1	Methanobacterium sp. UBA373	1915450	UBA373		2017-10-10	SAMN06027550	UBA373		mud	China: Luzhou		not applicable						haploid
GCA_002507035.1	Methanosaeta sp. UBA372	1915560	UBA372		2017-10-10	SAMN06027549	UBA372		mud	China: Luzhou		not applicable						haploid
GCA_002507065.1	Methanosarcina mazei	2209	UBA454		2017-10-10	SAMN06027332	UBA454		bioreactor	NULL		not applicable						haploid
GCA_002507095.1	Methanobacterium sp. UBA455	1915468	UBA455		2017-10-10	SAMN06027331	UBA455		bioreactor	NULL		not applicable						haploid
GCA_002507205.1	Methanolobus sp. UBA32	1915527	UBA32		2017-10-10	SAMN06027367	UBA32		Lake sediment from Indian Lake	India		not applicable						haploid
GCA_002507245.1	Candidatus Bathyarchaeota archaeon UBA233	1915990	UBA233		2017-10-10	SAMN06027496	UBA233		sediment	Pacific Ocean		not applicable						haploid
GCA_002507265.1	Methanosaeta sp. UBA332	1915558	UBA332		2017-10-10	SAMN06027488	UBA332		mud	China: Luzhou		not applicable						haploid
GCA_002507275.1	Geoglobus sp. UBA232	1915570	UBA232		2017-10-10	SAMN06027497	UBA232		sediment	Pacific Ocean		not applicable						haploid
GCA_002507315.1	Archaeoglobus sp. UBA231	1915566	UBA231		2017-10-10	SAMN06027498	UBA231		sediment	Pacific Ocean		not applicable						haploid
GCA_002507395.1	Candidatus Methanomethylicota archaeon UBA76	1916020	UBA76		2017-10-10	SAMN06027463	UBA76		closed biodigester	Malaysia		not applicable						haploid
GCA_002507545.1	Archaeoglobus sp. UBA230	1915565	UBA230		2017-10-10	SAMN06027201	UBA230		sediment	Pacific Ocean		not applicable						haploid
GCA_002508305.1	Thaumarchaeota archaeon UBA201	1915757	UBA201		2017-10-11	SAMN06027574	UBA201		saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	missing		not applicable						haploid
GCA_002508315.1	Thermocladium sp. UBA166	1915605	UBA166		2017-10-11	SAMN06027399	UBA166		water	Taiwan: Shi-Huang-Ping hot spring		not applicable						haploid
GCA_002508385.1	Methanosarcinaceae archaeon UBA151	1915680	UBA151		2017-10-11	SAMN06027503	UBA151		waste water	Canada: Suncor tailings pond 6		not applicable				true	contaminated	haploid
GCA_002508395.1	Nitrosopumilus sp. UBA241	1915596	UBA241		2017-10-11	SAMN06027636	UBA241		water	Baltic Sea		not applicable						haploid
GCA_002508425.1	Methanosarcinaceae archaeon UBA470	1915682	UBA470		2017-10-11	SAMN06027602	UBA470		waste water	Canada: Syncrude tailings pond, Wood Buffalo, Alberta		not applicable						haploid
GCA_002508435.1	Nitrososphaera sp. UBA240	1915603	UBA240		2017-10-11	SAMN06027635	UBA240		soil	USA: Angelo, CA		not applicable						haploid
GCA_002508465.1	Methanosarcina sp. UBA7	1915595	UBA7		2017-10-11	SAMN06027403	UBA7		GM-anode biofilm	NULL		not applicable						haploid
GCA_002508475.1	Methanosarcina sp. UBA392	1915586	UBA392		2017-10-11	SAMN06027316	UBA392		mud	China: Chengdu		not applicable						haploid
GCA_002508495.1	Methanoregula sp. UBA276	1915547	UBA276		2017-10-11	SAMN06027536	UBA276		waste water	Canada: North Alberta		not applicable						haploid
GCA_002508505.1	Methanosarcina sp. UBA304	1915577	UBA304		2017-10-11	SAMN06027358	UBA304		mud	China: Luzhou		not applicable						haploid
GCA_002508635.1	Methanolobus sp. UBA118	1915526	UBA118		2017-10-11	SAMN06027412	UBA118		crude oil	China: Qinghua		not applicable						haploid
GCA_002508665.1	Methanoculleus sp. UBA416	1915510	UBA416		2017-10-11	SAMN06027283	UBA416		mud	China: Mianyang		not applicable						haploid
GCA_002508675.1	Methanoculleus sp. UBA389	1915507	UBA389		2017-10-11	SAMN06027529	UBA389		mud	China: Chengdu		not applicable						haploid
GCA_002508705.1	Methanoculleus sp. UBA374	1915505	UBA374		2017-10-11	SAMN06027555	UBA374		mud	China: Luzhou		not applicable						haploid
GCA_002508725.1	Methanoculleus sp. UBA340	1915504	UBA340		2017-10-11	SAMN06027440	UBA340		mud	China: Luzhou		not applicable						haploid
GCA_002508745.1	Methanoculleus sp. UBA334	1915503	UBA334		2017-10-11	SAMN06027486	UBA334		mud	China: Luzhou		not applicable						haploid
GCA_002508765.1	Methanoculleus sp. UBA331	1915502	UBA331		2017-10-11	SAMN06027491	UBA331		mud	China: Luzhou		not applicable						haploid
GCA_002508775.1	Methanoculleus sp. UBA312	1915499	UBA312		2017-10-11	SAMN06027162	UBA312		mud	China: Luzhou		not applicable						haploid
GCA_002508805.1	Methanoculleus sp. UBA300	1915496	UBA300		2017-10-11	SAMN06027362	UBA300		mud	China: Luzhou		not applicable						haploid
GCA_002508825.1	Methanobrevibacter sp. UBA46	1915488	UBA46		2017-10-11	SAMN06027021	UBA46		mud	China: Luzhou		not applicable						haploid
GCA_002508845.1	Methanobrevibacter sp. UBA417	1915487	UBA417		2017-10-11	SAMN06027282	UBA417		mud	China: Mianyang		not applicable						haploid
GCA_002508855.1	Methanobrevibacter sp. UBA403	1915485	UBA403		2017-10-11	SAMN06027094	UBA403		mud	China: Chengdu		not applicable						haploid
GCA_002508885.1	Methanobrevibacter sp. UBA395	1915483	UBA395		2017-10-11	SAMN06027319	UBA395		mud	China: Chengdu		not applicable						haploid
GCA_002508905.1	Methanobrevibacter sp. UBA365	1915482	UBA365		2017-10-11	SAMN06027077	UBA365		mud	China: Luzhou		not applicable						haploid
GCA_002508925.1	Methanobrevibacter sp. UBA325	1915479	UBA325		2017-10-11	SAMN06027625	UBA325		mud	China: Luzhou		not applicable						haploid
GCA_002508935.1	Methanobrevibacter sp. UBA352	1915481	UBA352		2017-10-11	SAMN06027244	UBA352		mud	China: Luzhou		not applicable						haploid
GCA_002508965.1	Methanobrevibacter sp. UBA190	1915475	UBA190		2017-10-11	SAMN06027260	UBA190		Rumen fluid	NULL		not applicable						haploid
GCA_002508985.1	Methanobrevibacter sp. UBA189	1915474	UBA189		2017-10-11	SAMN06027455	UBA189		Rumen fluid	NULL		not applicable						haploid
GCA_002509005.1	Methanobacterium sp. UBA388	1915456	UBA388		2017-10-11	SAMN06027530	UBA388		mud	China: Chengdu		not applicable						haploid
GCA_002509015.1	Methanobrevibacter sp. UBA188	1915473	UBA188		2017-10-11	SAMN06027456	UBA188		Rumen fluid	NULL		not applicable						haploid
GCA_002509045.1	Methanobacterium sp. UBA368	1915449	UBA368		2017-10-11	SAMN06027072	UBA368		mud	China: Luzhou		not applicable						haploid
GCA_002509065.1	Methanobacterium sp. UBA330	1915440	UBA330		2017-10-11	SAMN06027490	UBA330		mud	China: Luzhou		not applicable						haploid
GCA_002509085.1	Methanobacteriaceae archaeon UBA588	1915625	UBA588		2017-10-11	SAMN06027049	UBA588		water	Australia: Surat Basin, Queensland		not applicable				true	contaminated	haploid
GCA_002509095.1	Methanobacteriaceae archaeon UBA254	1915621	UBA254		2017-10-11	SAMN06027173	UBA254		low methane producing sheep	NULL		not applicable				true	contaminated	haploid
GCA_002509125.1	Methanobacteriaceae archaeon UBA237	1915620	UBA237		2017-10-11	SAMN06027492	UBA237		high methane producing sheep	NULL		not applicable						haploid
GCA_002509145.1	Metallosphaera sp. UBA165	1915572	UBA165		2017-10-11	SAMN06027400	UBA165		water	Taiwan: Shi-Huang-Ping hot spring		not applicable						haploid
GCA_002509175.1	Euryarchaeota archaeon UBA585	1915777	UBA585		2017-10-11	SAMN06027044	UBA585		soil	missing		not applicable						haploid
GCA_002509245.1	Candidatus Bathyarchaeota archaeon UBA589	1915991	UBA589		2017-10-11	SAMN06027048	UBA589		water	Australia: Surat Basin, Queensland		not applicable						haploid
GCA_002509325.1	Methanosarcina sp. UBA402	1915588	UBA402		2017-10-11	SAMN06027093	UBA402		mud	China: Chengdu		not applicable						haploid
GCA_002509335.1	Methanosarcina sp. UBA342	1915580	UBA342		2017-10-11	SAMN06027438	UBA342		mud	China: Luzhou		not applicable						haploid
GCA_002509345.1	Methanoregula sp. UBA469	1915552	UBA469		2017-10-11	SAMN06027136	UBA469		waste water	Canada: Syncrude tailings pond, Wood Buffalo, Alberta		not applicable						haploid
GCA_002509385.1	Methanomicrobia archaeon UBA590	1915696	UBA590		2017-10-11	SAMN06027513	UBA590		soil	USA: Marcell Experimental Forest		not applicable						haploid
GCA_002509485.1	Methanolinea sp. UBA477	1915525	UBA477		2017-10-11	SAMN06027623	UBA477		waste water	Canada: Medicine Hat Glauconitic field		not applicable						haploid
GCA_002509495.1	Methanolinea sp. UBA473	1915524	UBA473		2017-10-11	SAMN06027619	UBA473		waste water	Canada: Syncrude tailings pond, Wood Buffalo, Alberta		not applicable						haploid
GCA_002509505.1	Methanolinea sp. UBA155	1915517	UBA155		2017-10-11	SAMN06027507	UBA155		waste water	Canada:Athabasca Oil Sands		not applicable						haploid
GCA_002509545.1	Methanoculleus sp. UBA45	1915512	UBA45		2017-10-11	SAMN06027022	UBA45		mud	China: Luzhou		not applicable						haploid
GCA_002509565.1	Methanoculleus sp. UBA377	1915506	UBA377		2017-10-11	SAMN06027554	UBA377		mud	China: Luzhou		not applicable						haploid
GCA_002509575.1	Methanoculleus sp. UBA320	1915500	UBA320		2017-10-11	SAMN06027630	UBA320		mud	China: Luzhou		not applicable						haploid
GCA_002509605.1	Methanobrevibacter sp. UBA594	1915490	UBA594		2017-10-11	SAMN06027517	UBA594		Rumen fluid	USA: Wyoming		not applicable						haploid
GCA_002509625.1	Methanobrevibacter sp. UBA401	1915484	UBA401		2017-10-11	SAMN06027092	UBA401		mud	China: Luzhou		not applicable						haploid
GCA_002509645.1	Methanobrevibacter sp. UBA318	1915478	UBA318		2017-10-11	SAMN06027435	UBA318		mud	China: Luzhou		not applicable						haploid
GCA_002509655.1	Methanobrevibacter sp. UBA313	1915477	UBA313		2017-10-11	SAMN06027163	UBA313		mud	China: Luzhou		not applicable						haploid
GCA_002509665.1	Methanobacterium sp. UBA8	1915471	UBA8		2017-10-11	SAMN06027422	UBA8		GM-anode biofilm	NULL		not applicable						haploid
GCA_002509705.1	Methanobacterium sp. UBA297	1915430	UBA297		2017-10-11	SAMN06027248	UBA297		mud	China: Luzhou		not applicable						haploid
GCA_002509725.1	Methanobacteriaceae archaeon UBA541	1915623	UBA541		2017-10-11	SAMN06027472	UBA541		low methane producing sheep	NULL		not applicable						haploid
GCA_002509745.1	Methanobacteriaceae archaeon UBA349	1915622	UBA349		2017-10-11	SAMN06027445	UBA349		biofilm	Canada: Fort McMurray, Alberta		not applicable						haploid
GCA_002572525.1	Natrinema sp. CBA1119	1608465		CBA1119	2017-10-17	SAMN07714133		CBA1119	solar salt	South Korea	34.587738 N 126.105372 E	missing						haploid
GCA_002634415.1	Candidatus Methanoperedens sp.	2032688	Ru_enrich_MN		2017-10-23	SAMN07483404	Ru_enrich_MN	missing	Bioreactor mimicking brackish/coastal conditions	Netherlands: Nijmegen	51.8240 N 5.8686 E	2016-09-10						haploid
GCA_002683155.1	Methanobacteriota archaeon	2026739	CPC89		2017-10-24	SAMN07618720	CPC89		Chile-Peru Current Coastal Province	Pacific Ocean		2010	not applicable					haploid
GCA_002685215.1	Methanobacteriota archaeon	2026739	CPC1446		2017-10-24	SAMN07618719	CPC1446		Chile-Peru Current Coastal Province	Pacific Ocean		2010	not applicable					haploid
GCA_002685315.1	Methanobacteriota archaeon	2026739	CPC10		2017-10-24	SAMN07618718	CPC10		Chile-Peru Current Coastal Province	Pacific Ocean		2011	not applicable					haploid
GCA_002685415.1	Methanobacteriota archaeon	2026739	ARS96		2017-10-24	SAMN07618716	ARS96		Northwest Arabian Sea Upwelling Province	Indian Ocean		2011	not applicable			true	contaminated	haploid
GCA_002685635.1	Methanobacteriota archaeon	2026739	ARS99		2017-10-24	SAMN07618717	ARS99		Northwest Arabian Sea Upwelling Province	Indian Ocean		2011	not applicable					haploid
GCA_002685735.1	Methanobacteriota archaeon	2026739	ARS91		2017-10-24	SAMN07618715	ARS91		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002685895.1	Methanobacteriota archaeon	2026739	ARS80		2017-10-24	SAMN07618714	ARS80		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002686035.1	Methanobacteriota archaeon	2026739	ARS58		2017-10-24	SAMN07618711	ARS58		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002686525.1	Methanobacteriota archaeon	2026739	ARS1134		2017-10-24	SAMN07618707	ARS1134		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002686775.1	Methanobacteriota archaeon	2026739	ARS78		2017-10-24	SAMN07618713	ARS78		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable			true	contaminated	haploid
GCA_002687075.1	Methanobacteriota archaeon	2026739	ARS60		2017-10-24	SAMN07618712	ARS60		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002687305.1	Methanobacteriota archaeon	2026739	ARS47		2017-10-24	SAMN07618710	ARS47		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable			true	contaminated	haploid
GCA_002687355.1	Methanobacteriota archaeon	2026739	ARS43		2017-10-24	SAMN07618709	ARS43		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002687935.1	Methanobacteriota archaeon	2026739	ARS1358		2017-10-24	SAMN07618708	ARS1358		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002688825.1	Methanobacteriota archaeon	2026739	ARS105		2017-10-24	SAMN07618706	ARS105		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002688905.1	Methanobacteriota archaeon	2026739	ARS1025		2017-10-24	SAMN07618705	ARS1025		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable					haploid
GCA_002689085.1	Methanobacteriota archaeon	2026739	ARS1005		2017-10-24	SAMN07618704	ARS1005		Northwest Arabian Sea Upwelling Province	Indian Ocean		2010	not applicable			true	contaminated	haploid
GCA_002689165.1	Methanobacteriota archaeon	2026739	MED743		2017-10-24	SAMN07618756	MED743		marine water sample	Mediterranean Sea		2009	not applicable			true	contaminated	haploid
GCA_002689345.1	Methanobacteriota archaeon	2026739	MED707		2017-10-24	SAMN07618755	MED707		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002689565.1	Methanobacteriota archaeon	2026739	MED678		2017-10-24	SAMN07618751	MED678		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002689805.1	Methanobacteriota archaeon	2026739	MED625		2017-10-24	SAMN07618750	MED625		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002690335.1	Nitrososphaerota archaeon	2026795	ARS1020		2017-10-24	SAMN07620156	ARS1020		Northwest Arabian Sea Upwelling Province	Indian Ocean		2011	not applicable			true	contaminated	haploid
GCA_002690535.1	Candidatus Nitrosopumilus sp.	2024843	MED740		2017-10-24	SAMN07619516	MED740		Mediterranean Sea	Mediterranean Sea		2011	not applicable					haploid
GCA_002690785.1	Methanobacteriota archaeon	2026739	MED705		2017-10-24	SAMN07618754	MED705		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002690815.1	Methanobacteriota archaeon	2026739	MED700		2017-10-24	SAMN07618753	MED700		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002690835.1	Methanobacteriota archaeon	2026739	MED699		2017-10-24	SAMN07618752	MED699		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002692145.1	Methanobacteriota archaeon	2026739	MED211		2017-10-24	SAMN07618749	MED211		marine water sample	Mediterranean Sea		2009	not applicable			true	contaminated	haploid
GCA_002692365.2	Methanobacteriota archaeon	2026739	MED1093		2018-06-20	SAMN07618748	MED1093		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002692465.1	Methanobacteriota archaeon	2026739	IN961		2017-10-24	SAMN07618747	IN961		Indian Monsoon Gyres Province	Indian Ocean		2009	not applicable					haploid
GCA_002692555.1	Methanobacteriota archaeon	2026739	IN930		2017-10-24	SAMN07618746	IN930		Indian Monsoon Gyres Province	Indian Ocean		2009	not applicable					haploid
GCA_002692625.1	Methanobacteriota archaeon	2026739	IN46		2017-10-24	SAMN07618743	IN46		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002692695.1	Methanobacteriota archaeon	2026739	IN33		2017-10-24	SAMN07618739	IN33		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable			true	contaminated	haploid
GCA_002692765.1	Methanobacteriota archaeon	2026739	IN34		2017-10-24	SAMN07618740	IN34		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002692775.1	Methanobacteriota archaeon	2026739	IN37		2017-10-24	SAMN07618742	IN37		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002693165.1	Nitrososphaerota archaeon	2026795	EAC691		2017-10-24	SAMN07620157	EAC691		Eastern Africa Coastal Province	Indian Ocean		2011	not applicable					haploid
GCA_002693225.1	Methanobacteriota archaeon	2026739	EAC675		2017-10-24	SAMN07618731	EAC675		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable			true	contaminated	haploid
GCA_002693485.1	Methanobacteriota archaeon	2026739	EAC89		2017-10-24	SAMN07618734	EAC89		Eastern Africa Coastal Province	Indian Ocean		2010	not applicable					haploid
GCA_002693705.1	Methanobacteriota archaeon	2026739	EAC40		2017-10-24	SAMN07618729	EAC40		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002693905.2	Methanobacteriota archaeon	2026739	IN918		2018-06-20	SAMN07618745	IN918		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002693925.2	Methanobacteriota archaeon	2026739	IN913		2018-06-20	SAMN07618744	IN913		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002694235.1	Methanobacteriota archaeon	2026739	IN31		2017-10-24	SAMN07618738	IN31		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002694245.1	Methanobacteriota archaeon	2026739	IN35		2017-10-24	SAMN07618741	IN35		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002694255.1	Methanobacteriota archaeon	2026739	IN30		2017-10-24	SAMN07618737	IN30		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002694525.1	Methanobacteriota archaeon	2026739	IN1219		2017-10-24	SAMN07618735	IN1219		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002694585.1	Methanobacteriota archaeon	2026739	IN1222		2017-10-24	SAMN07618736	IN1222		marine water sample	Indian Ocean: Indian Monsoon Gyres Province		2010	not applicable					haploid
GCA_002695105.1	Methanobacteriota archaeon	2026739	EAC720		2017-10-24	SAMN07618733	EAC720		Eastern Africa Coastal Province	Indian Ocean		2010	not applicable					haploid
GCA_002695145.1	Methanobacteriota archaeon	2026739	EAC710		2017-10-24	SAMN07618732	EAC710		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002695525.1	Methanobacteriota archaeon	2026739	EAC660		2017-10-24	SAMN07618730	EAC660		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002696315.1	Methanobacteriota archaeon	2026739	EAC30		2017-10-24	SAMN07618728	EAC30		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002696505.1	Methanobacteriota archaeon	2026739	EAC107		2017-10-24	SAMN07618723	EAC107		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002696565.1	Methanobacteriota archaeon	2026739	EAC22		2017-10-24	SAMN07618727	EAC22		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002696615.1	Methanobacteriota archaeon	2026739	EAC100		2017-10-24	SAMN07618721	EAC100		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002696845.1	Methanobacteriota archaeon	2026739	EAC1768		2017-10-24	SAMN07618726	EAC1768		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002697065.1	Methanobacteriota archaeon	2026739	EAC115		2017-10-24	SAMN07618724	EAC115		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002697105.1	Methanobacteriota archaeon	2026739	EAC106		2017-10-24	SAMN07618722	EAC106		marine water sample	Indian Ocean: Eastern Africa Coastal Province		2010	not applicable					haploid
GCA_002697175.1	Methanobacteriota archaeon	2026739	NAT86		2017-10-24	SAMN07618795	NAT86		North Atlantic Ocean	Atlantic Ocean		2011	not applicable					haploid
GCA_002697305.1	Methanobacteriota archaeon	2026739	NAT78		2017-10-24	SAMN07618794	NAT78		North Atlantic Ocean	Atlantic Ocean		2011	not applicable					haploid
GCA_002697685.1	Methanobacteriota archaeon	2026739	NAT35		2017-10-24	SAMN07618787	NAT35		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002697705.1	Methanobacteriota archaeon	2026739	NAT37		2017-10-24	SAMN07618789	NAT37		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002697845.1	Methanobacteriota archaeon	2026739	NAT281		2017-10-24	SAMN07618784	NAT281		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698105.1	Methanobacteriota archaeon	2026739	NAT256		2017-10-24	SAMN07618779	NAT256		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698145.1	Methanobacteriota archaeon	2026739	NAT68		2017-10-24	SAMN07618793	NAT68		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698225.1	Methanobacteriota archaeon	2026739	NAT54		2017-10-24	SAMN07618791	NAT54		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698285.1	Methanobacteriota archaeon	2026739	NAT57		2017-10-24	SAMN07618792	NAT57		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698405.1	Methanobacteriota archaeon	2026739	NAT50		2017-10-24	SAMN07618790	NAT50		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698465.1	Methanobacteriota archaeon	2026739	NAT302		2017-10-24	SAMN07618786	NAT302		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698545.1	Methanobacteriota archaeon	2026739	NAT266		2017-10-24	SAMN07618781	NAT266		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698565.1	Methanobacteriota archaeon	2026739	NAT279		2017-10-24	SAMN07618783	NAT279		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698725.1	Methanobacteriota archaeon	2026739	NAT238		2017-10-24	SAMN07618778	NAT238		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698805.1	Methanobacteriota archaeon	2026739	NAT234		2017-10-24	SAMN07618777	NAT234		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002698885.1	Nitrososphaerota archaeon	2026795	NAT229		2017-10-24	SAMN07620158	NAT229		North Atlantic Ocean	Atlantic Ocean		2010	not applicable					haploid
GCA_002699425.1	Methanobacteriota archaeon	2026739	NAT11		2017-10-24	SAMN07618769	NAT11		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002699515.1	Methanobacteriota archaeon	2026739	NAT135		2017-10-24	SAMN07618771	NAT135		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable			true	contaminated	haploid
GCA_002699665.1	Methanobacteriota archaeon	2026739	NAT107		2017-10-24	SAMN07618768	NAT107		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable			true	contaminated	haploid
GCA_002700555.1	Methanobacteriota archaeon	2026739	MED875		2017-10-24	SAMN07618765	MED875		marine water sample	Mediterranean Sea		2009	not applicable			true	contaminated	haploid
GCA_002700615.1	Methanobacteriota archaeon	2026739	MED874		2017-10-24	SAMN07618764	MED874		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002700955.2	Methanobacteriota archaeon	2026739	MED921		2018-06-20	SAMN07618767	MED921		Mediterranean Sea	Mediterranean Sea		2012	not applicable					haploid
GCA_002701025.1	Methanobacteriota archaeon	2026739	MED899		2017-10-24	SAMN07618766	MED899		Mediterranean Sea	Mediterranean Sea		2012	not applicable					haploid
GCA_002701145.1	Methanobacteriota archaeon	2026739	MED870		2017-10-24	SAMN07618763	MED870		marine water sample	Mediterranean Sea		2009	not applicable					haploid
GCA_002701965.1	Methanobacteriota archaeon	2026739	NAT36		2017-10-24	SAMN07618788	NAT36		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002702035.1	Methanobacteriota archaeon	2026739	NAT288		2017-10-24	SAMN07618785	NAT288		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002702155.1	Methanobacteriota archaeon	2026739	NAT275		2017-10-24	SAMN07618782	NAT275		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable			true	contaminated	haploid
GCA_002702305.1	Methanobacteriota archaeon	2026739	NAT260		2017-10-24	SAMN07618780	NAT260		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002702645.1	Methanobacteriota archaeon	2026739	NAT147		2017-10-24	SAMN07618772	NAT147		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002702715.1	Methanobacteriota archaeon	2026739	NAT120		2017-10-24	SAMN07618770	NAT120		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
GCA_002702945.1	Methanobacteriota archaeon	2026739	NAT154		2017-10-24	SAMN07618774	NAT154		marine water sample	Atlantic Ocean: North Atlantic Ocean		2012	not applicable					haploid
